"target","Owen","best,","the","All","Austie!","Christmas","Merry"
1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
